State_Name,State_Abbreviation,Total _Confirmed,Cured_Discharged_Migrated,Deaths,Case_Fatality_Ratio,18_to_45,45_to_60,60_plus,Male_Dose,Female_Dose,Others_Dose,First_Dose,Second_Dose,Total_Dose,Covaxin,Covishield,Sputnik
Andaman and Nicobar, AN,7119,6894,122,0.017137238,20484,60777,30715,60343,51627,9,111969,15223,127192,0,127192,0
Andhra Pradesh, AP,1758339,1623447,11466,0.006520927,1226860,4313621,2749772,4201450,4079074,1300,8185203,2569927,10755130,1945938,8853811,1412
Arunachal Pradesh, AR,29336,25618,125,0.004260976,126747,123360,47884,164886,132766,106,289588,78596,368184,0,372618,0
Assam, AS,434942,380419,3658,0.008410317,1030169,1665648,886053,1949139,1627871,710,3440940,846013,4286953,843140,3470381,0
Bihar, BR,713117,699028,5381,0.007545746,2699098,3135307,3343044,5042923,4112951,1778,9020132,1836281,10856413,916621,10000828,0
Chandigarh, CG,60659,59054,772,0.012726883,465687,2935532,1751324,2519129,2632615,576,5149383,1127288,6276671,206258,6075568,0
Chhattisgarh, CH,980575,944078,13217,0.013478826,105406,121848,77465,171116,133264,44,297141,75045,372186,0,377837,0
Delhi, DL,1429244,1398764,24591,0.0172056,121339,55214,20804,126427,70900,35,189754,26037,215791,0,223040,0
Dadra and Nagar Haveli and Daman and Diu, DNHDD,10394,10261,4,0.000384837,1663178,1685553,1033625,2541962,1839365,878,4361335,1281185,5642520,1708056,3947720,0
Goa, GA,159393,149479,2760,0.017315691,131934,189785,152324,241801,231257,41,467458,96250,563708,9942,553766,0
Gujarat, GJ,816234,788293,9933,0.012169304,4009170,5717675,4397032,7597693,6496251,1943,13784886,4272053,18056939,2153739,16044955,0
Himachal Pradesh, HP,195099,183441,3297,0.016899113,1561804,1844421,1754590,2844435,2375699,943,5163187,1015484,6178671,904309,5318881,0
Haryana, HR,762291,744482,8712,0.011428706,281606,1023994,784350,1049120,1040733,375,2382564,434129,2516693,0,2523215,0
Jharkhand, JH,341218,330478,5054,0.014811645,557923,1430748,919162,1698376,1205828,543,2877761,562674,3440435,59250,3399374,0
Jammu and Kashmir, JK,300490,269675,4074,0.013557856,1132322,1432234,1236795,2038969,1737436,614,3671731,734934,4406665,613675,3852078,0
Karnataka, KA,2695523,2409417,31580,0.011715723,3119995,5117381,4085687,6296779,5999846,1900,11969466,2840082,14809548,1664451,13397900,73
Kerala, KL,2633082,2462071,9946,0.003777323,1220704,3244573,3635948,3856604,4240319,1274,7959605,2142730,10102335,773807,9439765,22
Lakshadweep, LD,8737,7694,38,0.004349319,73997,35860,30275,74251,66101,17,137157,37301,174458,0,177639,0
Ladakh, LEH,19197,17913,195,0.010157837,11647,12945,7289,17523,14242,2,30103,6964,37067,0,37948,0
Maharashtra, MH,5831781,5543267,100130,0.017169712,3973169,8434080,6943382,10376931,8959729,2723,19514644,4755944,23970588,2943940,21100436,0
Meghalaya, ML,38718,32471,664,0.017149646,159525,168007,93927,233848,187586,110,413304,70802,484106,0,492395,0
Manipur, MN,55230,45165,881,0.015951476,147068,177857,77330,209065,193182,41,401271,74462,475733,0,476719,0
Madhya Pradesh, MP,785196,766756,8337,0.010617731,61532,128929,81831,140614,131685,21,271453,51215,322668,0,323535,0
Mizoram, MZ,13679,10345,55,0.004020762,3902222,3888888,3126620,6060781,4822695,1972,10545661,1823354,12369015,1719463,10904043,0
Nagaland, NL,22773,17615,426,0.018706363,88997,90275,50975,133856,96338,19,229708,52049,281757,0,281890,0
Odisha, OR,813096,739376,2994,0.003682222,1267011,2953991,2568525,3618779,3168701,2934,6719561,1498233,8217794,868643,7410508,0
Punjab, PB,579560,542324,15076,0.026012837,79534,90944,66845,123112,114172,33,234366,51653,286019,74,286477,0
Puducherry, PY,109079,99181,1628,0.014924963,980620,1754645,1380040,2320006,1789437,483,4052398,791023,4843421,466879,4403821,0
Rajasthan, RJ,946346,919115,8656,0.00914676,2813306,6035887,5657046,7578012,6911363,2269,14324835,3196870,17521705,1394401,16261750,0
Sikkim, SK,17111,12532,273,0.015954649,32195,92476,55380,96905,83131,27,179835,59713,239548,0,239628,0
Telengana, TG,591170,560776,3378,0.005714092,2908580,2985940,2072457,4384004,3573108,1066,7835506,2088889,9924395,1630037,8379530,0
Tamil Nadu, TN,2237233,1965939,27005,0.012070714,1175416,2553605,1660024,2807033,2561649,1076,5208447,1299968,6508415,1125205,5435760,14766
Tripura, TR,55469,48984,564,0.010167841,164149,627061,336627,584666,543426,163,1123899,507994,1631893,15121,1620134,0
Uttarakhand, UK,334024,311200,6699,0.020055445,4382386,6947804,5212259,9453453,16427136,3955,16360631,3608196,19968827,2327471,17915670,0
Uttar Pradesh, UP,1698389,1659209,21236,0.012503614,561399,977196,823037,1215330,1142497,513,2320337,686600,3006937,106272,2918594,0
West Bengal, WB,1426132,1374419,16259,0.011400768,3056333,4967644,4175684,6821470,5342269,1783,11949411,3936058,15885469,1804348,14217615,0
