District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Adilabad, TG,0,0,15,6801,6816,0.86,52411,16006,68417,10231,58959,0,28537,24883,8,9532,27733,16676
Agar Malwa, MP,1.07,35,3089,139,3263,0.02,62198,9532,71730,3723,70444,0,37114,28057,12,24214,22123,18943
Agra, UP,1.65,421,24856,266,25543,0,444263,87724,531987,43103,500336,0,270772,184652,109,190073,152140,113229
Ahmadabad, GJ,1.42,3344,227371,4895,235610,0.06,2040841,497508,2538349,119369,2466416,0,1181086,940806,272,896230,708490,522925
Ahmednagar, MH,1.26,3187,238182,10905,252275,0.2,564397,149740,714137,121499,598568,0,313397,255788,56,89501,241968,237706
Aizawl, MZ,0.41,36,6373,2267,8676,0.5,126386,20859,147245,0,148112,0,63625,63622,6,33101,58561,35580
Ajmer, RJ,1.08,403,36166,847,37416,0.03,614947,161269,776216,100878,680114,0,312252,308032,98,119265,263530,238056
Akola, MH,1.64,928,52363,3338,56633,0.16,255109,68506,323615,62856,264125,0,138466,120029,40,36240,118498,103688
Alappuzha, KL,0.41,709,156550,16587,173884,0.67,529028,144392,673420,61219,620582,0,248746,289608,78,66611,201434,271003
Aligarh, UP,0.49,103,20701,314,21118,0.01,318693,65380,384073,64461,326790,0,191560,134133,82,146390,101400,77959
Alipurduar, WB,0.78,94,11117,819,12030,0.05,210441,65446,275887,43182,237016,0,124616,92016,42,58600,86510,74048
Alirajpur, MP,1.32,46,3434,15,3495,0,65029,10872,75901,4840,72039,0,33842,32384,9,21232,28713,16506
Allahabad, UP,1.15,894,76566,507,77967,0.01,504392,112861,617253,67013,560618,0,307954,203854,156,220742,165147,125760
Almora, UK,1.22,136,9327,1138,11171,0.16,160071,44205,204276,13837,192376,0,75189,86912,29,28566,65737,67918
Alwar, RJ,0.5,289,55330,2489,58108,0.06,883432,191804,1075236,57615,1035149,0,478293,427178,141,176461,387833,346357
Ambala, HR,1.62,479,28404,607,29490,0.05,337612,93497,431109,82418,352479,0,182197,160149,76,121701,124790,95903
Ambedkar Nagar, UP,2.94,145,4583,201,4929,0.01,124425,33382,157807,22211,137667,0,73357,52862,22,20795,61407,43967
Amethi, UP.,1.23,121,9431,284,9836,0.01,145168,38481,183649,33311,152974,0,79309,68406,29,15027,75148,57517
Amravati, MH,1.56,1410,84515,4489,90416,0.14,380030,115337,495367,102009,400952,0,207780,179274,46,60029,168299,158849
Amreli, GJ,0.9,95,9801,602,10498,0.03,262138,101938,364076,123699,244574,0,135879,132101,31,27874,116832,123900
Amritsar, PB,3.26,1461,40424,2939,44824,0.11,304811,72630,377441,38884,344197,0,174288,138265,28,73692,132883,106198
Amroha, UP,1.02,168,15915,380,16463,0.02,108894,27454,136348,21940,117632,0,63274,48663,16,14779,54804,42338
Anand, GJ,0.49,46,8834,458,9338,0.02,429728,149087,578815,59174,527910,0,221825,220187,49,56219,210131,176798
Anantapur, AP,0.66,928,135828,4001,140757,0.09,625968,193537,819505,104637,718246,0,319956,308956,244,74528,317478,237114
Anantnag, JK,1.11,162,10895,3581,14638,0.24,195828,23200,219028,0,223123,0,118628,82965,36,39403,100126,63018
Angul, OR,0.35,119,28721,5149,33989,0.35,139900,29252,169152,0,173419,0,85434,59472,16,12598,80104,52288
Anjaw, AR,0,0,376,108,484,0.29,3778,1252,5030,0,5092,0,2124,1837,0,1487,1803,668
Anuppur, MP,0.86,79,8719,352,9150,0.04,82737,10109,92846,12407,83179,0,46850,39111,15,28099,34649,23530
Araria, BR,0.5,72,13671,654,14397,0.02,198518,27615,226133,72,229158,0,111625,90432,36,56340,69281,76641
Aravalli, GJ,1.46,74,4691,315,5080,0.03,249717,106147,355864,105395,254895,0,129127,126364,45,30138,112415,113576
Ariyalur, TN,1.04,120,8876,2529,11525,0.29,65936,13573,79509,7501,73163,0,39522,27591,9,28188,24561,14395
Arwal, BR,0.69,50,7055,109,7214,0.01,49627,12612,62239,0,62890,0,27726,22893,16,15371,16466,18955
Ashoknagar, MP,0.75,27,3440,151,3618,0.02,101023,16217,117240,17626,103338,0,60152,45421,18,31453,41185,33762
Auraiya, UP,1.79,180,9697,151,10028,0.01,78150,25592,103742,10327,95616,0,47665,32588,7,11690,38283,30154
Aurangabad, BR,0.19,38,19583,192,19813,0.01,164564,29477,194041,3413,193918,0,98113,71099,44,53980,63195,52727
Aurangabad, MH,1.96,2887,140537,3953,147391,0.09,492614,126834,619448,45525,580097,0,279914,218609,168,108205,222513,168039
Azamgarh, UP,1.21,215,17023,550,17788,0.01,298461,53794,352255,57702,302128,0,177224,129066,90,109347,104178,92806
Badgam, JK,0.88,179,18090,2148,20417,0.41,192206,29811,222017,0,223721,0,116514,77634,21,47481,93269,53576
Bagalkot, KA,0.85,281,31059,1841,33181,0.09,301648,79056,380704,95571,292709,0,150944,157536,37,46394,162004,100430
Bageshwar, UK,0.85,46,4339,1028,5438,0.34,80332,26825,107157,2349,106366,0,39632,43539,22,20932,32411,30087
Baghpat, UP,1.48,133,8326,531,8990,0.04,173500,30227,203727,13794,195446,0,96041,83003,37,12576,102963,63528
Bahraich, UP,1.51,171,10816,329,11316,0.01,269937,63969,333906,39291,301146,0,154197,123023,30,28542,143423,105250
Baksa, AS,0.94,26,447,2281,2754,0.16,64363,13245,77608,10450,67358,0,35255,29407,10,15857,35198,13640
Balaghat, MP,0.7,63,8727,222,9012,0.01,231725,39434,271159,29753,247988,0,125046,113072,33,70872,82455,84784
Balangir, OR,0.28,61,20496,1134,21691,0.06,146308,41010,187318,0,189597,0,79624,68877,17,15423,71886,61204
Balasore, OR,0.44,111,21432,3725,25268,0.14,390754,90505,481259,0,488113,0,209191,188174,53,18157,203062,176186
