District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Agar Malwa, MP,1.07,35,3089,139,3263,0.02,62198,9532,71730,3723,70444,0,37114,28057,12,24214,22123,18943
Alirajpur, MP,1.32,46,3434,15,3495,0,65029,10872,75901,4840,72039,0,33842,32384,9,21232,28713,16506
Anuppur, MP,0.86,79,8719,352,9150,0.04,82737,10109,92846,12407,83179,0,46850,39111,15,28099,34649,23530
Ashoknagar, MP,0.75,27,3440,151,3618,0.02,101023,16217,117240,17626,103338,0,60152,45421,18,31453,41185,33762
Balaghat, MP,0.7,63,8727,222,9012,0.01,231725,39434,271159,29753,247988,0,125046,113072,33,70872,82455,84784
Barwani, MP,1,83,8071,149,8303,0.01,100391,21212,121603,10148,114264,0,55823,47221,16,40350,36250,26438
Betul, MP,1.58,201,12082,402,12685,0.02,196085,37479,233564,25914,211820,0,109408,90603,25,52930,79491,67574
Bhind, MP,0.97,29,2904,49,2982,0,180387,27533,207920,19191,192885,0,110839,75858,54,57215,67143,63364
Bhopal, MP,0.77,934,114831,5328,121093,0.2,740268,150366,890634,123728,799151,0,440828,345755,160,392918,246745,155340
Burhanpur, MP,1.45,37,2500,15,2552,0,108206,26225,134431,33404,106117,0,59477,53862,25,32866,44688,35714
Chhatarpur, MP,1.2,91,7400,78,7569,0,190019,26772,216791,36661,186712,0,113676,83130,31,52940,73148,70785
Chhindwara, MP,1.8,120,6454,79,6653,0,225953,53877,279830,49611,239912,0,130144,105732,43,73551,92889,69717
Damoh, MP,2.02,162,7120,739,8021,0.05,120239,20346,140585,15131,129653,0,69369,55233,14,41360,43622,39641
Datia, MP,1.12,77,6709,115,6901,0.01,102592,17268,119860,22654,99811,0,58423,48067,34,31041,33972,42507
Dewas, MP,0.62,48,7507,133,7688,0.01,193435,38349,231784,28882,213291,0,118529,91865,34,79261,74577,58727
Dhar, MP,1.01,125,12002,299,12426,0.01,230827,43743,274570,29075,253141,0,131360,106808,48,93586,85350,59112
Dindori, MP,0.61,28,4521,39,4588,0.01,79750,11437,91187,6583,87013,0,40341,42451,12,21889,31003,30039
Gwalior, MP,1.11,587,51492,815,52894,0.04,451105,75842,526947,87585,452553,0,267309,200541,93,198362,159855,113916
Harda, MP,1.81,90,4798,96,4984,0.01,68028,10231,78259,7792,73490,0,40331,31471,11,25784,25709,21313
Hoshangabad, MP,0.92,97,10390,92,10579,0.01,165926,30020,195946,27202,175717,0,97169,75577,32,56273,62154,54335
Indore, MP,0.89,1349,146720,2734,150803,0.07,1135190,221070,1356260,269650,1163409,0,676374,545157,310,589877,385301,250173
Jabalpur, MP,1.23,617,48425,983,50025,0.03,569773,112578,682351,175832,526290,0,321352,271325,134,227934,223215,144470
Jhabua, MP,0.69,53,7557,56,7666,0,77441,17827,95268,9612,88067,0,40611,39488,11,33206,24995,22126
Katni, MP,1.17,109,9205,35,9349,0,156966,21295,178261,14927,167998,0,90447,71584,20,46520,66216,49906
Khandwa, MP,2.33,94,3908,25,4027,0,154389,33906,188295,32672,157309,0,84115,72460,28,53030,54346,49571
Khargone, MP,1.61,222,13443,156,13821,0.01,187559,32968,220527,22818,209740,0,113027,86381,39,76263,71405,51706
Mandla, MP,0.33,17,5120,37,5174,0,110947,18359,129306,13371,115935,0,56889,54415,13,31583,41708,38161
Mandsaur, MP,0.98,84,8240,256,8580,0.02,149290,26171,175461,16285,159176,0,82659,66662,28,44464,59134,45733
Narsinghapur, MP,0.72,80,11003,72,11155,0.01,139720,27490,167210,14066,153144,0,79567,60509,19,41361,51655,47253
